date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-07-01 00:00:00,27,24,30.9,8,,,8.9,,1011.1,
2025-07-02 00:00:00,25.5,22.7,28.9,13.1,,,7.6,,1011.5,
2025-07-03 00:00:00,26.1,21.9,31.3,0.1,,,8.1,,1011.5,
2025-07-04 00:00:00,23.9,18.5,28.2,0,,,6.8,,1017.9,
2025-07-05 00:00:00,25.3,18.9,30.9,0,,,8.9,,1020.9,
2025-07-06 00:00:00,27.6,21.7,33.2,0,,,13,,1018,
2025-07-07 00:00:00,27.1,24.1,31.4,3.5,,,9.7,,1015.5,
2025-07-08 00:00:00,28,23.8,35.9,18,,,10.1,,1015,
2025-07-09 00:00:00,27.3,23.7,31.3,0,,,11.3,,1015.7,
2025-07-10 00:00:00,24.8,22.5,27.4,7.8,,,6.4,,1015,
2025-07-11 00:00:00,24.7,21.7,27.8,1.1,,,8.2,,1017,
2025-07-12 00:00:00,25.3,22.4,30,0,,,8.2,,1019,
2025-07-13 00:00:00,25.4,22.2,29.1,0.4,,,9.8,,1019,
2025-07-14 00:00:00,26.1,23.2,30.6,13.8,,,9.7,,1018,
2025-07-15 00:00:00,25.8,22.9,29.9,0.9,,,5.7,,1018.3,
2025-07-16 00:00:00,26.8,23.3,30,1.8,,,8.2,,1016.4,
2025-07-17 00:00:00,28.5,24.1,33.4,0.4,,,17.4,,1011.7,
2025-07-18 00:00:00,26.4,22.4,30.3,0,,,8,,1016.9,
2025-07-19 00:00:00,25.2,21.6,28.5,0.2,,,12.6,,1018.4,
2025-07-20 00:00:00,26.5,22,30.8,7.8,,,8.7,,1010.2,
2025-07-21 00:00:00,26.7,21.7,32,0,,,7.4,,1012.9,
2025-07-22 00:00:00,23.7,19.9,27.7,0,,,15.5,,1020.4,
2025-07-23 00:00:00,24.4,20,27.9,0,,,9.4,,1024.1,
2025-07-24 00:00:00,26,20.3,30.6,0,,,12.3,,1021.4,
2025-07-25 00:00:00,29.7,24.5,38,1.2,,,9.8,,1014.9,
2025-07-26 00:00:00,26.4,23.5,29.8,0,,,12,,1019.2,
2025-07-27 00:00:00,25.4,22.5,30.3,3.9,,,8,,1016.6,
2025-07-28 00:00:00,29,23,34.9,0,,,6.9,,1015.5,
2025-07-29 00:00:00,31.3,24.8,38.7,0,,,10.3,,1015.4,
2025-07-30 00:00:00,30.8,27.4,35.6,0.4,,,8.4,,1015.1,
2025-07-31 00:00:00,26.5,21.1,31.7,30.5,,,13.4,,1015.1,
